
eSH
0,2.3811486450493444e-8
500,7.05416291016991e-4
1000,2.0580834028102067e-3
1500,3.4991564390263814e-3
2000,5.532433677604523e-3
2500,6.828794792619499e-3
3000,9.398925696207533e-3
3500,1.1160921570574859e-2
4000,1.321614866669574e-2
4500,1.640536566002146e-2
5000,1.8628747022613308e-2
5500,2.029906069615503e-2
6000,2.5132965163088786e-2
6500,2.5971709744112663e-2
7000,3.0321768772044407e-2
7500,3.106814531021669e-2
8000,3.620520743221019e-2
8500,3.954070041431157e-2
9000,3.887124676498839e-2
9500,4.092515220213651e-2
10000,4.741685029130368e-2

eSI
0,2.2588698697950044e-8
500,6.366615526076269e-4
1000,1.92546042489416e-3
1500,3.14801749059776e-3
2000,4.4462153074125545e-3
2500,5.825721919316251e-3
3000,7.464703811481302e-3
3500,8.778720547930144e-3
4000,1.0669035818403779e-2
4500,1.2550086070343972e-2
5000,1.4260807775966328e-2
5500,1.5129246700984629e-2
6000,1.753193369564185e-2
6500,1.8810530141500182e-2
7000,2.165567509779011e-2
7500,2.4168668289386998e-2
8000,2.4296867586012353e-2
8500,2.7715237975585554e-2
9000,2.7408818593313733e-2
9500,2.9126178362757313e-2
10000,3.311196559547813e-2

eSPQ
0,4.23817976220508e-8
500,2.5642266024500596e-3
1000,5.312668617691474e-3
1500,9.358236619948106e-3
2000,1.3282361124133465e-2
2500,1.7375513726184854e-2
3000,2.183559940297123e-2
3500,2.6637858631590537e-2
4000,3.3281443560217144e-2
4500,3.72407350249627e-2
5000,4.184255468149627e-2
5500,4.578989040665267e-2
6000,5.0186466917424066e-2
6500,5.494267903159707e-2
7000,6.086576043645354e-2
7500,6.860687534542442e-2
8000,7.244732690940674e-2
8500,7.972845383059896e-2
9000,7.83362911335479e-2
9500,8.196499653934035e-2
10000,9.357949931691101e-2

eSW
0,2.3753571469656775e-8
500,7.202853522944015e-4
1000,1.6048368136930297e-3
1500,2.691843104117741e-3
2000,3.719421544138177e-3
2500,4.8868725902815515e-3
3000,6.25150745588555e-3
3500,7.494292602991071e-3
4000,9.260688815957907e-3
4500,1.0262292986626316e-2
5000,1.1514470756959782e-2
5500,1.2918102587411018e-2
6000,1.4457833089235036e-2
6500,1.5601797026672505e-2
7000,1.7386744637450248e-2
7500,1.9068394428628784e-2
8000,1.9909747518183633e-2
8500,2.2073292519564705e-2
9000,2.259541436542075e-2
9500,2.3994764399966482e-2
10000,2.643305228988212e-2

eSWPQ
0,2.545814475596612e-8
500,4.15717328611838e-4
1000,1.3029373619253977e-3
1500,2.247448732147086e-3
2000,3.4749705085209154e-3
2500,4.4907566341514235e-3
3000,5.818481951705113e-3
3500,6.876457784914788e-3
4000,8.413166570123986e-3
4500,9.259282226825613e-3
5000,1.1286769525191242e-2
5500,1.2324339187999094e-2
6000,1.3516266511917872e-2
6500,1.4546317917556098e-2
7000,1.5947294033610705e-2
7500,1.8043788350653876e-2
8000,1.9468856614317194e-2
8500,2.1234533296294256e-2
9000,2.1487822032366613e-2
9500,2.3611367287773175e-2
10000,2.6092626158897948e-2

fES
0,2.4270609766497426e-8
500,1.1295128599617954e-3
1000,2.8432911441789027e-3
1500,5.036218520525858e-3
2000,7.355639663644368e-3
2500,1.0006552663391455e-2
3000,1.2911922732139104e-2
3500,1.6221116452621594e-2
4000,1.9502018250596994e-2
4500,2.4251191492970836e-2
5000,2.7783516820577246e-2
5500,3.028774141657598e-2
6000,3.432716969849507e-2
6500,3.765452124277675e-2
7000,4.296719604837044e-2
7500,4.5403109237548187e-2
8000,5.0650047038588754e-2
8500,5.571384027618504e-2
9000,6.2120801954530395e-2
9500,6.281728470907678e-2
10000,6.897586762706023e-2
